timestamp,de
091100,614423
091101,507770
091102,450211
091103,426329
091104,437682
091105,534974
091106,789961
091107,1268818
091108,1557082
091109,1800249
091110,1854029
091111,1796471
091112,1912579
091113,2002747
091114,1979596
091115,1818639
091116,1623829
091117,1540240
091118,1505064
091119,1587786
091120,1664997
091121,1469452
091122,1139008
091123,852684
091200,621120
091201,491853
091202,425779
091203,413868
091204,382015
091205,502484
091206,770733
091207,1223835
091208,1496852
091209,1709797
091210,1788677
091211,1721922
091212,1721895
091213,1697882
091214,1596000
091215,1476752
091216,1412148
091217,1346586
091218,1313477
091219,1463785
091220,1490809
091221,1349292
091222,1154763
091223,851006
091300,635432
091301,517915
091302,425813
091303,389421
091304,384630
091305,430005
091306,526544
091307,647954
091308,822429
091309,1017988
091310,1142284
091311,1191695
091312,1251020
091313,1305854
091314,1290105
091315,1284709
091316,1313759
091317,1267468
091318,1246579
091319,1342673
091320,1415222
091321,1426735
091322,1221011
091323,950810
091400,761679
091401,619661
091402,503995
091403,432493
091404,426248
091405,436417
091406,539796
091407,667134
091408,935656
091409,1220751
091410,1390663
091411,1472394
091412,1508070
091413,1564224
091414,1615377
091415,1605512
091416,1698754
091417,1678885
091418,1692765
091419,1817942
091420,1812631
091421,1702311
091422,1317064
091423,942321
091500,695027
091501,534680
091502,447197
091503,445787
091504,448233
091505,528609
091506,784932
091507,1219041
091508,1540337
091509,1905811
091510,1921258
091511,1885693
091512,2032533
091513,2253625
091514,2155907
091515,1957243
091516,1739244
091517,1605932
091518,1660330
091519,1798800
091520,1763492
091521,1532158
091522,1185909
091523,813666
091600,620865
091601,493019
091602,489325
091603,458695
091604,434761
091605,555204
091606,805972
091607,1346390
091608,1595785
091609,1818804
091610,1911183
091611,1806232
091612,1928314
091613,2009153
091614,2015254
091615,1852406
091616,1678718
091617,1490009
091618,1532005
091619,1659017
091620,1705634
091621,1462760
091622,1094375
091623,806329
091700,567455
091701,493304
091702,460513
091703,395463
091704,416699
091705,482739
091706,773553
091707,1252155
091708,1552441
091709,1768512
091710,1881160
091711,1791310
091712,1842742
091713,1953632
091714,1881245
091715,1763622
091716,1504789
091717,1405565
091718,1397599
091719,1555792
091720,1577279
091721,1378900
091722,1057759
091723,783442
091800,566208
091801,460383
091802,396844
091803,390048
091804,384466
091805,498860
091806,807359
091807,1264448
091808,1546590
091809,1753022
091810,1825810
091811,1755956
091812,1811196
091813,1963731
091814,1895822
091815,1741089
091816,1548284
091817,1402337
091818,1424975
091819,1551300
091820,1612013
091821,1410618
091822,1095240
091823,800046
091900,583655
091901,496040
091902,436137
091903,375034
091904,437740
091905,594103
091906,880362
091907,1399142
091908,1641148
091909,1848100
091910,1866027
091911,1753007
091912,1725632
091913,1724098
091914,1602064
091915,1462579
091916,1337717
091917,1277999
091918,1253597
091919,1355979
091920,1487037
091921,1332949
091922,1052279
091923,793108
092000,616953
092001,537280
092002,486833
092003,443534
092004,458286
092005,449238
092006,566292
092007,709019
092008,840000
092009,1051707
092010,1169558
092011,1192173
092012,1157157
092013,1179029
092014,1134159
092015,1171928
092016,1246948
092017,1270250
092018,1214592
092019,1363528
092020,1482166
092021,1521757
092022,1270853
092023,1021274
092100,866495
092101,722113
092102,587435
092103,510952
092104,482568
092105,505339
092106,631635
092107,785807
092108,1089651
092109,1394719
092110,1612767
092111,1677172
092112,1687755
092113,1683644
092114,1751570
092115,1768950
092116,1848687
092117,1834949
092118,1826276
092119,1891040
092120,1862806
092121,1775026
092122,1342826
092123,935420
092200,713039
092201,637703
092202,590511
092203,513672
092204,506197
092205,566314
092206,810277
092207,1326954
092208,1653963
092209,1948794
092210,2068672
092211,2086218
092212,2081323
092213,2208337
092214,2191922
092215,2024273
092216,1852432
092217,1688043
092218,1673485
092219,1851920
092220,1793654
092221,1516067
092222,1121876
092223,811428
092300,619539
092301,527707
092302,509394
092303,445328
092304,449492
092305,605255
092306,881892
092307,1389028
092308,1732136
092309,2035047
092310,2077975
092311,1897771
092312,1947796
092313,2127235
092314,2047699
092315,1930096
092316,1680346
092317,1506759
092318,1517644
092319,1628193
092320,1676190
092321,1468557
092322,1109197
092323,815071
092400,627169
092401,511360
092402,465753
092403,457319
092404,449531
092405,551088
092406,877519
092407,1348239
092408,1617655
092409,1937946
092410,1914349
092411,1813924
092412,1902569
092413,2032819
092414,1994491
092415,1862915
092416,1650294
092417,1576565
092418,1502396
092419,1580927
092420,1608186
092421,1388951
092422,1053158
092423,773134
092500,579868
092501,529069
092502,511591
092503,462412
092504,477605
092505,578055
092506,882983
092507,1357874
092508,1643550
092509,1874406
092510,2016370
092511,1886784
092512,2245995
092513,2496826
092514,2216092
092515,1834266
092516,1633847
092517,1562012
092518,1583659
092519,1677615
092520,1760690
092521,1517504
092522,1104049
092523,797237
092600,759902
092601,739803
092602,714741
092603,708943
092604,482397
092605,560328
092606,847414
092607,1255251
092608,1526056
092609,1764496
092610,1812906
092611,1746025
092612,1686694
092613,1710221
092614,1597148
092615,1465587
092616,1378631
092617,1292780
092618,1342740
092619,1528484
092620,1551031
092621,1297365
092622,1085431
092623,784980
092700,586579
092701,516820
092702,484900
092703,430445
092704,394271
092705,414399
092706,500009
092707,636303
092708,847824
092709,1018066
092710,1162911
092711,1161827
092712,1149540
092713,1137164
092714,1113955
092715,1140469
092716,1169154
092717,1181540
092718,1162437
092719,1258207
092720,1368977
092721,1344681
092722,1116577
092723,819105
092800,662231
092801,517893
092802,439484
092803,410236
092804,383370
092805,369175
092806,452671
092807,607587
092808,909680
092809,1139801
092810,1269907
092811,1329640
092812,1329636
092813,1347290
092814,1294092
092815,1354869
092816,1447565
092817,1519542
092818,1610060
092819,1706894
092820,1758306
092821,1596478
092822,1282434
092823,820731
092900,615308
092901,545755
092902,439983
092903,378237
092904,395967
092905,486095
092906,723650
092907,1191284
092908,1482233
092909,1724642
092910,1814743
092911,1815557
092912,1824375
092913,1905095
092914,1874359
092915,1728016
092916,1543289
092917,1444126
092918,1489702
092919,1685269
092920,1657671
092921,1423893
092922,1051377
092923,700375
093000,505353
093001,380563
093002,326446
093003,328490
093004,345768
093005,448502
093006,772272
093007,1271956
093008,1561264
093009,1900945
093010,1990466
093011,1950483
093012,1892756
093013,1997247
093014,1976170
093015,1859864
093016,1674232
093017,1478040
093018,1481645
093019,1583200
093020,1611661
093021,1412743
093022,1062285
093023,760469
10100,563259
10101,460378
10102,370813
10103,353270
10104,332017
10105,438904
10106,711340
10107,1238975
10108,1513228
10109,1695274
10110,1719294
10111,1772219
10112,1769873
10113,1873161
10114,1856392
10115,1730203
10116,1620035
10117,1443124
10118,1426690
10119,1565663
10120,1596697
10121,1429412
10122,1084716
10123,774896
10200,523860
10201,449068
10202,384679
10203,372205
10204,380849
10205,474986
10206,716064
10207,1204226
10208,1604618
10209,1762146
10210,1809265
10211,1793439
10212,1706210
10213,1765489
10214,1600049
10215,1439459
10216,1268309
10217,1149629
10218,1228915
10219,1335190
10220,1394320
10221,1309706
10222,1080900
10223,834123
10300,605132
10301,479395
10302,468828
10303,405093
10304,377374
10305,397428
10306,508342
10307,744903
10308,1035646
10309,1245645
10310,1364554
10311,1397227
10312,1369145
10313,1288602
10314,1220142
10315,1216314
10316,1281468
10317,1327471
10318,1335070
10319,1424993
10320,1471683
10321,1366070
10322,1233715
10323,927631
10400,645567
10401,523405
10402,412795
10403,424333
10404,367989
10405,382403
10406,431560
