MaxCarbonBudget,MinCarbonBudget,AVGCarbonBudget
13096396.249999998,572806.5,6834601.374999999
15842749.649999999,689949.25,8266349.449999999
17033813.514,737852.652,8885833.082999999
17638990.398000002,771735.192,9205362.795000002
18060801.660000004,785407.752,9423104.706000002
20429077.604000002,887010.02,10658043.812
23202989.351999994,1010121.5439999999,12106555.447999997
23553992.097999997,1024684.2829999999,12289338.190499999
22627442.5,975485.4199999999,11801463.96
21041879.564999998,913539.7320000001,10977709.6485
18882159.901999995,823212.5729999999,9852686.237499997
17658993.707999997,764933.544,9211963.625999998
17327288.588999998,753480.819,9040384.703999998
16357841.192,713158.9079999999,8535500.05
13449228.701999998,585711.79,7017470.245999999
9268072.275,404561.775,4836317.025
6603205.799999999,291387.255,3447296.5274999994
4611419.704999999,204504.46999999997,2407962.0874999994
3603256.709,160800.484,1882028.5965
3336091.907,143191.155,1739641.531
2821922.3599999994,130055.80000000002,1475989.0799999996
3203667.9220000003,147169.295,1675418.6085
4611162.855,208646.36800000002,2409904.6115
7814518.909999999,341724.063,4078121.4864999996
13204162.277999999,566812.7899999999,6885487.533999999
14960451.12,647836.001,7804143.5605
