timestamp,De
0210160000,1827890
0210170000,1591481
0210180000,1441437
0210190000,1421444
0210200000,1493317
0210210000,1487205
0210220000,1265432
0210230000,924865
021100000,680750
021110000,658057
021120000,648068
021130000,590592
021140000,401676
021150000,341928
021160000,402984
021170000,645129
021180000,1152338
021190000,1449315
0211100000,1780980
0211110000,1877101
0211120000,1829983
0211130000,1933694
0211140000,2215303
0211150000,2411589
0211160000,6995931
0211170000,4781360
0211180000,1427442
0211190000,1400331
0211200000,1439342
0211210000,1427655
0211220000,1263447
0211230000,917492
021200000,640256
021210000,440417
021220000,330988
021230000,284785
021240000,272495
021250000,244580
021260000,337249
021270000,586736
021280000,1103595
021290000,1446352
0212100000,1746827
0212110000,1748431
0212120000,1694451
0212130000,1760146
0212140000,1805284
0212150000,1747755
0212160000,1593996
0212170000,1464618
0212180000,1333818
0212190000,1279105
0212200000,1283735
0212210000,1266103
0212220000,1112648
0212230000,905759
021300000,641642
021310000,462469
021320000,367494
021330000,307143
021340000,288849
021350000,271840
021360000,344207
021370000,600082
021380000,1075931
021390000,1363667
0213100000,1644372
0213110000,1698005
0213120000,1621048
0213130000,1560117
0213140000,1634178
0213150000,1458462
0213160000,1353877
0213170000,1320399
0213180000,1226216
0213190000,1149477
0213200000,1173292
0213210000,1207374
0213220000,1079763
0213230000,881283
021400000,725513
021410000,577925
021420000,476218
021430000,427219
021440000,412299
021450000,385351
021460000,391596
021470000,460426
021480000,600219
021490000,791868
0214100000,996012
0214110000,1118761
0214120000,1130776
0214130000,1113405
0214140000,1163547
0214150000,1140914
0214160000,1197476
0214170000,1231091
0214180000,1160493
0214190000,1153113
0214200000,1154637
0214210000,1265500
0214220000,1169290
0214230000,1025452
021500000,739951
021510000,606298
021520000,438045
021530000,382780
021540000,319536
021550000,289020
021560000,293661
021570000,326447
021580000,487807
021590000,754554
0215100000,1057190
0215110000,1242901
0215120000,1273273
0215130000,1250238
0215140000,1356553
0215150000,1335121
0215160000,1405164
0215170000,1501206
0215180000,1462340
0215190000,1440536
0215200000,1419126
0215210000,1470507
0215220000,1294625
0215230000,981290
021600000,706177
021610000,495010
021620000,384593
021630000,332575
021640000,315335
021650000,309897
021660000,391891
021670000,573935
021680000,1018526
021690000,1353458
0216100000,1689096
0216110000,1832477
0216120000,1768432
0216130000,1816084
0216140000,1905582
0216150000,1895974
0216160000,1802421
0216170000,1632862
0216180000,1507153
0216190000,1513552
0216200000,1803767
0216210000,1728356
0216220000,1426370
0216230000,1103502
021700000,791668
021710000,765298
021720000,659946
021730000,558512
021740000,537677
021750000,537779
021760000,516059
021770000,792639
021780000,1322869
021790000,1599342
0217100000,1916483
0217110000,1995155
0217120000,1757214
0217130000,1835233
0217140000,1988687
0217150000,2004007
0217160000,1865984
0217170000,1639223
0217180000,1455944
0217190000,1404890
0217200000,1355692
0217210000,1325011
0217220000,1150347
0217230000,757665
021800000,636584
021810000,481109
021820000,368231
021830000,427189
021840000,476293
021850000,374866
021860000,412538
021870000,740349
021880000,1272923
021890000,1530491
0218100000,1900952
0218110000,2013722
0218120000,1918172
0218130000,1971004
0218140000,2123864
0218150000,2034181
0218160000,2027810
0218170000,1712836
0218180000,1581771
0218190000,1536677
0218200000,1499626
0218210000,1394226
0218220000,1225356
0218230000,1004208
021900000,678030
021910000,501726
021920000,361580
021930000,292943
021940000,337154
021950000,304201
021960000,380569
021970000,666387
021980000,1146576
021990000,1512471
0219100000,1850926
0219110000,2025236
0219120000,1865485
0219130000,1846070
0219140000,2001812
0219150000,1998572
0219160000,1899541
0219170000,1737274
0219180000,1480416
0219190000,1369756
0219200000,1403217
0219210000,1431694
0219220000,1204065
0219230000,1024032
022000000,759631
022010000,617806
022020000,556590
022030000,480668
022040000,407292
022050000,385841
022060000,479976
022070000,695585
022080000,1185272
022090000,1528141
0220100000,1835970
0220110000,1869595
0220120000,1712448
0220130000,1745395
0220140000,1711266
0220150000,1745930
0220160000,1618571
0220170000,1441234
0220180000,1272615
0220190000,1213480
0220200000,1221852
0220210000,1213145
0220220000,1114021
0220230000,979935
022100000,747783
022110000,561091
022120000,527515
022130000,573450
022140000,369154
022150000,364747
022160000,374263
022170000,441186
022180000,564203
022190000,763826
0221100000,987161
0221110000,1176603
0221120000,1193246
0221130000,1259071
0221140000,1322203
0221150000,1273702
0221160000,1292648
0221170000,1295353
0221180000,1259272
0221190000,1228393
0221200000,1210811
0221210000,1220909
0221220000,1202041
0221230000,1024650
022200000,803707
022210000,662309
022220000,538646
022230000,508553
022240000,429978
022250000,413077
022260000,395205
022270000,440294
022280000,652148
022290000,866053
0222100000,1246824
0222110000,1439757
0222120000,1687876
0222130000,1512005
0222140000,1523791
0222150000,1548729
0222160000,1606277
0222170000,1632153
0222180000,1616104
0222190000,1625239
0222200000,1598345
0222210000,1461568
0222220000,1286687
0222230000,974766
022300000,676977
022310000,546646
022320000,406665
022330000,326296
022340000,314420
022350000,304674
022360000,416000
022370000,630103
022380000,1152833
022390000,1484236
0223100000,1829276
0223110000,1941072
0223120000,1978117
0223130000,2032508
0223140000,2327021
0223150000,2181346
0223160000,1960477
0223170000,1767899
0223180000,1582389
0223190000,1523063
0223200000,1579247
0223210000,1495562
0223220000,1272913
0223230000,985725
022400000,676987
022410000,555338
022420000,475800
022430000,422258
022440000,402342
022450000,359077
022460000,470804
022470000,739140
022480000,1358928
022490000,1627187
0224100000,2020522
0224110000,1998121
0224120000,2010891
0224130000,1923252
0224140000,2029881
0224150000,2021398
0224160000,1918724
0224170000,1710000
0224180000,1582817
0224190000,1501086
0224200000,1549675
0224210000,1489864
0224220000,1302112
0224230000,999510
022500000,702396
022510000,599100
022520000,470725
022530000,429835
022540000,381130
022550000,385288
022560000,505147
022570000,805427
022580000,1289704
022590000,1655975
0225100000,1930279
0225110000,2003803
0225120000,1898486
0225130000,1870140
0225140000,2038762
0225150000,2020286
0225160000,1924306
0225170000,1733413
0225180000,1541361
0225190000,1560196
0225200000,1627709
0225210000,1627442
0225220000,1399979
0225230000,971107
022600000,667994
022610000,553724
022620000,432014
022630000,369989
022640000,378092
022650000,351189
022660000,406641
022670000,667015
022680000,1225337
022690000,1522030
0226100000,1836794
0226110000,1917436
0226120000,1824870
0226130000,1758271
0226140000,1901625
0226150000,1881561
0226160000,1780425
0226170000,1605044
0226180000,1389885
0226190000,1421116
0226200000,0
0226210000,1467719
0226220000,1207563
0226230000,907650
022700000,673595
022710000,555792
022720000,453918
022730000,366382
022740000,361955
022750000,357049
022760000,447914
022770000,744228
022780000,1243518
022790000,1628750
0227100000,1796895
0227110000,2030532
0227120000,1995661
0227130000,1701433
0227140000,1618205
0227150000,1487990
0227160000,1444416
0227170000,1387154
0227180000,1390059
